file	size_mb	upload_http	material_id	status	pages	chars	nodes	edges	graph	tasks	questions	elapsed_s	note
图灵程序设计丛书--深度学习入门4：强化学习 ([日] 斋藤康毅) (1).pdf	87.1	201	b1d61486859c49c9be420f890bcd869c	ready	333	51996	46	52	"auto-b1d61486859c49c9be420f890bcd869c"	6	8	32	ocr=false
C#从入门到精通（第7版）+(明日科技)+.pdf	32.2	201	35541b64e33e49239cfaf17cf7dffda3	ready	868	269709	253	272	"auto-35541b64e33e49239cfaf17cf7dffda3"	6	8	27	ocr=false
深度学习进阶：自然语言处理 (斋藤康毅) .pdf	7.9	201	f100d3b444e44595ad6f0a09526e1991	ready	427	279277	200	219	"auto-f100d3b444e44595ad6f0a09526e1991"	6	8	23	ocr=false
黄仁勋：英伟达之芯_【美】斯蒂芬·威特.pdf	8.3	201	59a9e4d52695480fbc963d290d206e74	ready	201	224004	58	64	"auto-59a9e4d52695480fbc963d290d206e74"	6	0	26	ocr=false
Java从入门到精通（第6版） (明日科技) .pdf	51.3	201	da019b6207bf4f638988110799d16fd7	ready	775	270715	251	270	"auto-da019b6207bf4f638988110799d16fd7"	6	8	52	ocr=false
DeepLearning-Goodfellow-花书.pdf	30.8	201	70b4fca24e9643d5addc6ede96dca536	ready	738	782261	248	251	"auto-70b4fca24e9643d5addc6ede96dca536"	6	8	36	ocr=false
深度学习 Deep Learning [花书] (Ian Goodfellow,Yoshua Bengio,Aaron Courville) .pdf	30.8	201	098f538bfca548e98e9ce45af775aa6b	ready	738	782261	248	251	"auto-098f538bfca548e98e9ce45af775aa6b"	6	8	36	ocr=false；curl 逗号限制，改用 python 上传器复测
Python编程：从入门到实践（第3版）.pdf	5.8	201	250f1e6cf5f3469c897d9a26eaf3a434	ready	732	467326	248	255	"auto-250f1e6cf5f3469c897d9a26eaf3a434"	6	8	20	ocr=false
深度学习入门：基于Python的理论与实现+(斋藤康毅)+.pdf	10.7	201	42ab5790f28a4ce2a137d0e9808170db	ready	314	209515	213	222	"auto-42ab5790f28a4ce2a137d0e9808170db"	6	8	22	ocr=false
Kotlin编程实践：Kotlin从入门到实战.pdf	13.9	201	5f556d8df468491ca5f5a8d0b0226c22	ready	294	177556	124	134	"auto-5f556d8df468491ca5f5a8d0b0226c22"	6	8	29	ocr=false
Go语言从入门到精通.pdf	120.4	201	4c13e0d97f4947149a5e7538ee975e8d	ready	506	140004	247	258	"auto-4c13e0d97f4947149a5e7538ee975e8d"	6	8	23	ocr=false
大模型应用开发：动手做 AI Agent (黄佳) .pdf	63.7	201	8d17e03f5bce484c804812c4aaa9e80d	ready	290	22179	154	173	"auto-8d17e03f5bce484c804812c4aaa9e80d"	6	8	161	ocr=true
深度学习入门2：自制框架 (斋藤康毅)-扫描版 (1).PDF	77.1	201	5b63730818694b4ca380fbd67d87febf	ready	504	338429	229	241	"auto-5b63730818694b4ca380fbd67d87febf"	6	8	71	ocr=false
